Price,Close,High,Low,Open,Volume,Returns,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2021-09-02,150.273681640625,151.3201765731345,149.05114919993167,150.48884854406634,71115500,0.7474885340727822,1.1860361055651225
2021-09-03,150.90940856933594,151.2321589268622,149.72599059173956,150.38126619393228,57808700,0.4230460861611496,1.174686289872679
2021-09-07,153.24688720703125,153.80435423363667,150.99742455621305,151.56468139327094,82278300,1.5489283669290588,1.2054375474846015
2021-09-08,151.70159912109375,153.58918195944025,150.59642507001544,153.53050279274424,74420200,-1.0083650729230564,1.234837360391876
2021-09-09,150.68447875976562,152.67964530991367,150.56710548729126,152.073273942186,57305700,-0.6704743834085924,1.2545405911797585
2021-09-10,145.69654846191406,152.06349296335642,145.43247723787448,151.59404461667017,140893200,-3.3101818706913755,1.4166088492639528
2021-09-13,146.2637939453125,148.09269782306362,145.48137014638132,147.32006383534568,102404300,0.3893335081625038,1.4188829525979847
2021-09-14,144.86521911621094,147.7504080093713,143.68181590903453,147.04622803340942,109296300,-0.9562002949441317,1.3988206112014119
2021-09-15,145.75523376464844,146.15622806180076,143.15368066284816,145.2955602871313,83281300,0.6143742810505337,1.4015767093697387
2021-09-16,145.52049255371094,145.69654500672686,143.98499938228917,145.1781923829195,68034100,-0.1610516513709137,1.2711790857737886
2021-09-17,142.8505401611328,145.54990270022478,142.557129242949,145.54990270022478,129868800,-1.8347604146492724,1.3411126426121038
2021-09-20,139.799072265625,141.65731614069242,138.16577024578245,140.64017542374413,123478900,-2.1361262562016314,1.3978175516074864
2021-09-21,140.2782440185547,141.42254742441006,139.6425331695155,140.76725695581268,75834000,0.34275746266700935,1.3752066157495095
2021-09-22,142.64511108398438,143.21235308306478,140.54234603803783,141.27586560496235,76404300,1.687265963435225,1.4389287798263188
2021-09-23,143.6035614013672,143.8480679048245,142.43970805715156,143.42750895866175,64838200,0.6719124897442308,1.4386361175384415
2021-09-24,143.6916046142578,144.22952199810462,142.36148841215257,142.4592969995775,53477900,0.06130990905199862,1.4337058733790056
2021-09-27,142.17562866210938,142.7526753188713,140.65970036682202,142.27343722725323,74150700,-1.055020546411256,1.4410230460052142
