date,news_count,avg_sentiment,sentiment
2023-04-21,14,0.15595238095238098,"{'neutral': 9, 'positive': 4, 'negative': 1}"
2023-04-22,5,0.24,"{'positive': 2, 'neutral': 2, 'negative': 1}"
2023-04-23,6,0.033333333333333326,"{'neutral': 3, 'negative': 2, 'positive': 1}"
2023-04-24,19,0.23157894736842108,"{'neutral': 14, 'positive': 5}"
2023-04-25,20,0.34500000000000003,"{'neutral': 9, 'positive': 9, 'negative': 2}"
2023-04-26,20,0.10482638888888889,"{'neutral': 9, 'positive': 7, 'negative': 4}"
2023-04-27,16,0.1375,"{'neutral': 10, 'positive': 5, 'negative': 1}"
2023-04-28,12,0.4099867724867725,"{'positive': 7, 'neutral': 5}"
2023-04-29,5,0.6,"{'positive': 3, 'neutral': 2}"
2023-04-30,5,0.2,"{'positive': 2, 'neutral': 2, 'negative': 1}"
2023-05-01,21,0.24916383219954646,"{'neutral': 10, 'positive': 9, 'negative': 2}"
2023-05-02,19,0.08450292397660819,"{'neutral': 8, 'positive': 7, 'negative': 4}"
2023-05-03,23,0.1814958592132505,"{'neutral': 10, 'positive': 10, 'negative': 3}"
2023-05-04,39,0.16761633428300096,"{'neutral': 16, 'positive': 15, 'negative': 8}"
2023-05-05,50,0.38416666666666666,"{'neutral': 26, 'positive': 22, 'negative': 2}"
2023-05-06,7,0.35714285714285715,"{'neutral': 4, 'positive': 3}"
